dataset,round,train_accuracy,test_accuracy
fedprox_femnist,68,0.709701,0.719335
fedprox_femnist,69,0.518604,0.525468
fedprox_femnist,70,0.731624,0.730769
fedprox_femnist,71,0.658608,0.653326
fedprox_femnist,72,0.371415,0.377859
fedprox_femnist,73,0.692467,0.684511
fedprox_femnist,74,0.457646,0.454782
fedprox_femnist,75,0.699166,0.701143
fedprox_femnist,76,0.701236,0.692827
fedprox_femnist,77,0.677912,0.675156
fedprox_femnist,78,0.747458,0.739605
fedprox_femnist,79,0.742829,0.738565
fedprox_femnist,80,0.442726,0.421518
fedprox_femnist,81,0.760794,0.767672
fedprox_femnist,82,0.739054,0.744283
fedprox_femnist,83,0.669509,0.689709
fedprox_femnist,84,0.565861,0.568607
fedprox_femnist,85,0.783631,0.787422
fedprox_femnist,86,0.566713,0.558732
fedprox_femnist,87,0.482736,0.464137
fedprox_femnist,88,0.724073,0.713098
fedprox_femnist,89,0.772121,0.77079
fedprox_femnist,90,0.720297,0.709459
fedprox_femnist,91,0.771086,0.769231
fedprox_femnist,92,0.779855,0.779106
fedprox_femnist,93,0.77206,0.772869
fedprox_femnist,94,0.792278,0.788462
fedprox_femnist,95,0.745022,0.745842
fedprox_femnist,96,0.525547,0.514553
fedprox_femnist,97,0.799769,0.800416
fedprox_femnist,98,0.785031,0.790021
fedprox_femnist,99,0.734121,0.739605
fedprox_femnist,100,0.602095,0.593035
fedprox_femnist,101,0.716095,0.711538
fedprox_femnist,102,0.784301,0.788981
fedprox_femnist,103,0.798185,0.794699
fedprox_femnist,104,0.814506,0.813929
fedprox_femnist,105,0.790938,0.79158
fedprox_femnist,106,0.63571,0.629938
fedprox_femnist,107,0.806406,0.806133
fedprox_femnist,108,0.809269,0.808732
fedprox_femnist,109,0.78223,0.780146
fedprox_femnist,110,0.827233,0.826923
fedprox_femnist,111,0.812618,0.813929
fedprox_femnist,112,0.759881,0.764553
fedprox_femnist,113,0.748736,0.752599
fedprox_femnist,114,0.777785,0.774428
fedprox_femnist,115,0.769502,0.782225
fedprox_femnist,116,0.824493,0.830042
fedprox_femnist,117,0.817916,0.827963
fedprox_femnist,118,0.81274,0.814449
fedprox_femnist,119,0.821692,0.821206
fedprox_femnist,120,0.807198,0.805613
fedprox_femnist,121,0.734791,0.727131
fedprox_femnist,122,0.822666,0.825364
fedprox_femnist,123,0.665611,0.656445
fedprox_femnist,124,0.807868,0.803015
fedprox_femnist,125,0.786858,0.795738
fedprox_femnist,126,0.770172,0.775468
fedprox_femnist,127,0.778454,0.777027
fedprox_femnist,128,0.830583,0.836798
fedprox_femnist,129,0.804092,0.810291
fedprox_femnist,130,0.739297,0.735447
fedprox_femnist,131,0.821814,0.827443
fedprox_femnist,132,0.844955,0.849272
fedprox_femnist,133,0.818464,0.824324
fedprox_femnist,134,0.837038,0.843555
fedprox_femnist,135,0.827538,0.825884
fedprox_femnist,136,0.816942,0.828482
fedprox_femnist,137,0.798733,0.795738
fedprox_femnist,138,0.835576,0.841476
fedprox_femnist,139,0.75239,0.759875
fedprox_femnist,140,0.84666,0.861746
fedprox_femnist,141,0.837038,0.846154
fedprox_femnist,142,0.818769,0.823285
fedprox_femnist,143,0.813897,0.821206
fedprox_femnist,144,0.751842,0.759875
fedprox_femnist,145,0.826929,0.839397
fedprox_femnist,146,0.752756,0.761435
fedprox_femnist,147,0.803057,0.814449
fedprox_femnist,148,0.846051,0.849792
fedprox_femnist,149,0.659582,0.6658
fedprox_femnist,150,0.819682,0.821206
fedprox_femnist,151,0.839596,0.845634
fedprox_femnist,152,0.80324,0.808732
fedprox_femnist,153,0.738018,0.743763
fedprox_femnist,154,0.813836,0.822765
fedprox_femnist,155,0.770172,0.772349
fedprox_femnist,156,0.815358,0.820166
fedprox_femnist,157,0.853054,0.865385
fedprox_femnist,158,0.840874,0.847193
fedprox_femnist,159,0.836977,0.847713
fedprox_femnist,160,0.838621,0.848753
fedprox_femnist,161,0.801717,0.807692
fedprox_femnist,162,0.807381,0.81237
fedprox_femnist,163,0.851653,0.858628
fedprox_femnist,164,0.815115,0.819127
fedprox_femnist,165,0.838195,0.848753
fedprox_femnist,166,0.774861,0.781185
fedprox_femnist,167,0.833993,0.836798
fedprox_femnist,168,0.80799,0.821206
fedprox_femnist,169,0.839717,0.846154
fedprox_femnist,170,0.846721,0.864345
fedprox_femnist,171,0.81615,0.819127
fedprox_femnist,172,0.807746,0.81237
fedprox_femnist,173,0.831009,0.846154
fedprox_femnist,174,0.766701,0.759356
fedprox_femnist,175,0.832166,0.837838
fedprox_femnist,176,0.820961,0.824844
fedprox_femnist,177,0.846173,0.860707
fedprox_femnist,178,0.85281,0.866424
fedprox_femnist,179,0.795567,0.805094
fedprox_femnist,180,0.821692,0.829002
fedprox_femnist,181,0.855003,0.865385
fedprox_femnist,182,0.832714,0.843555
fedprox_femnist,183,0.845442,0.850832
fedprox_femnist,184,0.841179,0.847193
fedprox_femnist,185,0.697034,0.690748
fedprox_femnist,186,0.826624,0.8342
fedprox_femnist,187,0.854028,0.857069
fedprox_femnist,188,0.861519,0.868503
fedprox_femnist,189,0.83314,0.837838
fedprox_femnist,190,0.81073,0.819127
fedprox_femnist,191,0.8589,0.870062
fedprox_femnist,192,0.858109,0.872141
fedprox_femnist,193,0.840509,0.847193
fedprox_femnist,194,0.830339,0.840956
fedprox_femnist,195,0.841362,0.848753
fedprox_femnist,196,0.844528,0.851871
fedprox_femnist,197,0.849217,0.852391
fedprox_femnist,198,0.815115,0.821206
fedprox_femnist,199,0.832166,0.838877
