dataset,round,train_accuracy,test_accuracy
fedprox_synthetic_0_0,89,0.520565,0.534002
fedprox_synthetic_0_0,90,0.494196,0.507246
fedprox_synthetic_0_0,91,0.59084,0.593088
fedprox_synthetic_0_0,92,0.640424,0.64437
fedprox_synthetic_0_0,93,0.673101,0.6767
fedprox_synthetic_0_0,94,0.676003,0.686734
fedprox_synthetic_0_0,95,0.683321,0.682274
fedprox_synthetic_0_0,96,0.680797,0.682274
fedprox_synthetic_0_0,97,0.655816,0.658863
fedprox_synthetic_0_0,98,0.632602,0.636566
fedprox_synthetic_0_0,99,0.636513,0.634337
fedprox_synthetic_0_0,100,0.65569,0.64437
fedprox_synthetic_0_0,101,0.641433,0.636566
fedprox_synthetic_0_0,102,0.663386,0.656633
fedprox_synthetic_0_0,103,0.684078,0.673356
fedprox_synthetic_0_0,104,0.704012,0.7068
fedprox_synthetic_0_0,105,0.70704,0.721293
fedprox_synthetic_0_0,106,0.720918,0.729097
fedprox_synthetic_0_0,107,0.704517,0.716834
fedprox_synthetic_0_0,108,0.707292,0.723523
fedprox_synthetic_0_0,109,0.688367,0.713489
fedprox_synthetic_0_0,110,0.706409,0.730212
fedprox_synthetic_0_0,111,0.711077,0.725753
fedprox_synthetic_0_0,112,0.718521,0.721293
fedprox_synthetic_0_0,113,0.733031,0.734671
fedprox_synthetic_0_0,114,0.732526,0.722408
fedprox_synthetic_0_0,115,0.698208,0.687848
fedprox_synthetic_0_0,116,0.674994,0.667781
fedprox_synthetic_0_0,117,0.682438,0.677815
fedprox_synthetic_0_0,118,0.674237,0.668896
fedprox_synthetic_0_0,119,0.623391,0.610925
fedprox_synthetic_0_0,120,0.631214,0.626533
fedprox_synthetic_0_0,121,0.635503,0.633222
fedprox_synthetic_0_0,122,0.626419,0.622074
fedprox_synthetic_0_0,123,0.637396,0.626533
fedprox_synthetic_0_0,124,0.636134,0.624303
fedprox_synthetic_0_0,125,0.616452,0.613155
fedprox_synthetic_0_0,126,0.687863,0.690078
fedprox_synthetic_0_0,127,0.674615,0.688963
fedprox_synthetic_0_0,128,0.677896,0.691193
fedprox_synthetic_0_0,129,0.679662,0.692308
fedprox_synthetic_0_0,130,0.686096,0.704571
fedprox_synthetic_0_0,131,0.705021,0.717949
fedprox_synthetic_0_0,132,0.707419,0.723523
fedprox_synthetic_0_0,133,0.692279,0.703456
fedprox_synthetic_0_0,134,0.681176,0.692308
fedprox_synthetic_0_0,135,0.683699,0.692308
fedprox_synthetic_0_0,136,0.671966,0.670011
fedprox_synthetic_0_0,137,0.62377,0.64214
fedprox_synthetic_0_0,138,0.493944,0.502787
fedprox_synthetic_0_0,139,0.460005,0.459309
fedprox_synthetic_0_0,140,0.532551,0.550725
fedprox_synthetic_0_0,141,0.506435,0.516165
fedprox_synthetic_0_0,142,0.499621,0.497213
fedprox_synthetic_0_0,143,0.502902,0.501672
fedprox_synthetic_0_0,144,0.636639,0.6466
fedprox_synthetic_0_0,145,0.657204,0.67447
fedprox_synthetic_0_0,146,0.673858,0.675585
fedprox_synthetic_0_0,147,0.681302,0.675585
fedprox_synthetic_0_0,148,0.643578,0.645485
fedprox_synthetic_0_0,149,0.653041,0.656633
fedprox_synthetic_0_0,150,0.650139,0.654404
fedprox_synthetic_0_0,151,0.667802,0.67447
fedprox_synthetic_0_0,152,0.680293,0.677815
fedprox_synthetic_0_0,153,0.690765,0.687848
fedprox_synthetic_0_0,154,0.690765,0.685619
fedprox_synthetic_0_0,155,0.660989,0.672241
fedprox_synthetic_0_0,156,0.659097,0.663322
fedprox_synthetic_0_0,157,0.589074,0.610925
fedprox_synthetic_0_0,158,0.670578,0.688963
fedprox_synthetic_0_0,159,0.601186,0.624303
fedprox_synthetic_0_0,160,0.545168,0.567447
fedprox_synthetic_0_0,161,0.546429,0.561873
fedprox_synthetic_0_0,162,0.562074,0.585284
fedprox_synthetic_0_0,163,0.541635,0.567447
fedprox_synthetic_0_0,164,0.542392,0.562988
fedprox_synthetic_0_0,165,0.543275,0.561873
fedprox_synthetic_0_0,166,0.559551,0.578595
fedprox_synthetic_0_0,167,0.626419,0.625418
fedprox_synthetic_0_0,168,0.62049,0.608696
fedprox_synthetic_0_0,169,0.588948,0.590858
fedprox_synthetic_0_0,170,0.569392,0.57748
fedprox_synthetic_0_0,171,0.548574,0.552954
fedprox_synthetic_0_0,172,0.595382,0.591973
fedprox_synthetic_0_0,173,0.615191,0.61204
fedprox_synthetic_0_0,174,0.615569,0.61427
fedprox_synthetic_0_0,175,0.638405,0.643255
fedprox_synthetic_0_0,176,0.648246,0.6466
fedprox_synthetic_0_0,177,0.653041,0.661093
fedprox_synthetic_0_0,178,0.639036,0.64437
fedprox_synthetic_0_0,179,0.646101,0.647715
fedprox_synthetic_0_0,180,0.6514,0.654404
fedprox_synthetic_0_0,181,0.637901,0.641026
fedprox_synthetic_0_0,182,0.637901,0.651059
fedprox_synthetic_0_0,183,0.590966,0.600892
fedprox_synthetic_0_0,184,0.457734,0.471572
fedprox_synthetic_0_0,185,0.469215,0.477146
fedprox_synthetic_0_0,186,0.448902,0.45262
fedprox_synthetic_0_0,187,0.445117,0.45262
fedprox_synthetic_0_0,188,0.438809,0.447046
fedprox_synthetic_0_0,189,0.447641,0.455964
fedprox_synthetic_0_0,190,0.522332,0.527313
fedprox_synthetic_0_0,191,0.619606,0.606466
fedprox_synthetic_0_0,192,0.636134,0.622074
fedprox_synthetic_0_0,193,0.661746,0.652174
fedprox_synthetic_0_0,194,0.674615,0.663322
fedprox_synthetic_0_0,195,0.677391,0.671126
fedprox_synthetic_0_0,196,0.65241,0.632107
fedprox_synthetic_0_0,197,0.667928,0.653289
fedprox_synthetic_0_0,198,0.669947,0.654404
fedprox_synthetic_0_0,199,0.671083,0.653289
