dataset,round,train_accuracy,test_accuracy
fedprox_synthetic_0.5_0.5,68,0.689895,0.705044
fedprox_synthetic_0.5_0.5,69,0.704526,0.722588
fedprox_synthetic_0.5_0.5,70,0.707626,0.723684
fedprox_synthetic_0.5_0.5,71,0.704278,0.718202
fedprox_synthetic_0.5_0.5,72,0.690639,0.705044
fedprox_synthetic_0.5_0.5,73,0.666832,0.674342
fedprox_synthetic_0.5_0.5,74,0.651457,0.650219
fedprox_synthetic_0.5_0.5,75,0.630626,0.626096
fedprox_synthetic_0.5_0.5,76,0.603224,0.601974
fedprox_synthetic_0.5_0.5,77,0.6031,0.607456
fedprox_synthetic_0.5_0.5,78,0.648233,0.66557
fedprox_synthetic_0.5_0.5,79,0.651085,0.66557
fedprox_synthetic_0.5_0.5,80,0.638438,0.662281
fedprox_synthetic_0.5_0.5,81,0.585989,0.60307
fedprox_synthetic_0.5_0.5,82,0.594296,0.614035
fedprox_synthetic_0.5_0.5,83,0.589585,0.593202
fedprox_synthetic_0.5_0.5,84,0.577185,0.597588
fedprox_synthetic_0.5_0.5,85,0.611407,0.621711
fedprox_synthetic_0.5_0.5,86,0.607812,0.607456
fedprox_synthetic_0.5_0.5,87,0.598512,0.592105
fedprox_synthetic_0.5_0.5,88,0.632238,0.631579
fedprox_synthetic_0.5_0.5,89,0.625418,0.617325
fedprox_synthetic_0.5_0.5,90,0.624799,0.621711
fedprox_synthetic_0.5_0.5,91,0.633478,0.632675
fedprox_synthetic_0.5_0.5,92,0.642529,0.627193
fedprox_synthetic_0.5_0.5,93,0.641662,0.635965
fedprox_synthetic_0.5_0.5,94,0.596652,0.591009
fedprox_synthetic_0.5_0.5,95,0.558462,0.559211
fedprox_synthetic_0.5_0.5,96,0.565406,0.563596
fedprox_synthetic_0.5_0.5,97,0.638066,0.639254
fedprox_synthetic_0.5_0.5,98,0.646373,0.649123
fedprox_synthetic_0.5_0.5,99,0.649721,0.666667
fedprox_synthetic_0.5_0.5,100,0.613391,0.617325
fedprox_synthetic_0.5_0.5,101,0.611531,0.618421
fedprox_synthetic_0.5_0.5,102,0.633726,0.632675
fedprox_synthetic_0.5_0.5,103,0.615127,0.616228
fedprox_synthetic_0.5_0.5,104,0.582145,0.580044
fedprox_synthetic_0.5_0.5,105,0.561066,0.561404
fedprox_synthetic_0.5_0.5,106,0.556727,0.553728
fedprox_synthetic_0.5_0.5,107,0.67142,0.676535
fedprox_synthetic_0.5_0.5,108,0.6677,0.680921
fedprox_synthetic_0.5_0.5,109,0.670056,0.673246
fedprox_synthetic_0.5_0.5,110,0.639554,0.633772
fedprox_synthetic_0.5_0.5,111,0.594668,0.592105
fedprox_synthetic_0.5_0.5,112,0.691383,0.682018
fedprox_synthetic_0.5_0.5,113,0.677123,0.671053
fedprox_synthetic_0.5_0.5,114,0.687663,0.689693
fedprox_synthetic_0.5_0.5,115,0.673776,0.671053
fedprox_synthetic_0.5_0.5,116,0.681587,0.669956
fedprox_synthetic_0.5_0.5,117,0.679727,0.66886
fedprox_synthetic_0.5_0.5,118,0.648481,0.639254
fedprox_synthetic_0.5_0.5,119,0.592312,0.567982
fedprox_synthetic_0.5_0.5,120,0.672536,0.682018
fedprox_synthetic_0.5_0.5,121,0.658277,0.663377
fedprox_synthetic_0.5_0.5,122,0.588097,0.570175
fedprox_synthetic_0.5_0.5,123,0.534532,0.52193
fedprox_synthetic_0.5_0.5,124,0.492746,0.48136
fedprox_synthetic_0.5_0.5,125,0.475511,0.468202
fedprox_synthetic_0.5_0.5,126,0.639182,0.623904
fedprox_synthetic_0.5_0.5,127,0.584625,0.566886
fedprox_synthetic_0.5_0.5,128,0.492126,0.470395
fedprox_synthetic_0.5_0.5,129,0.62579,0.618421
fedprox_synthetic_0.5_0.5,130,0.586485,0.586623
fedprox_synthetic_0.5_0.5,131,0.649969,0.652412
fedprox_synthetic_0.5_0.5,132,0.648977,0.650219
fedprox_synthetic_0.5_0.5,133,0.673156,0.675439
fedprox_synthetic_0.5_0.5,134,0.704278,0.710526
fedprox_synthetic_0.5_0.5,135,0.696342,0.716009
fedprox_synthetic_0.5_0.5,136,0.679727,0.679825
fedprox_synthetic_0.5_0.5,137,0.675883,0.675439
fedprox_synthetic_0.5_0.5,138,0.667204,0.667763
fedprox_synthetic_0.5_0.5,139,0.657781,0.649123
fedprox_synthetic_0.5_0.5,140,0.622567,0.623904
fedprox_synthetic_0.5_0.5,141,0.577433,0.563596
fedprox_synthetic_0.5_0.5,142,0.545319,0.516447
fedprox_synthetic_0.5_0.5,143,0.510353,0.498904
fedprox_synthetic_0.5_0.5,144,0.50341,0.491228
fedprox_synthetic_0.5_0.5,145,0.601488,0.576754
fedprox_synthetic_0.5_0.5,146,0.550031,0.539474
fedprox_synthetic_0.5_0.5,147,0.528332,0.517544
fedprox_synthetic_0.5_0.5,148,0.541352,0.526316
fedprox_synthetic_0.5_0.5,149,0.542715,0.532895
fedprox_synthetic_0.5_0.5,150,0.56367,0.570175
fedprox_synthetic_0.5_0.5,151,0.646125,0.64693
fedprox_synthetic_0.5_0.5,152,0.641414,0.663377
fedprox_synthetic_0.5_0.5,153,0.60372,0.600877
fedprox_synthetic_0.5_0.5,154,0.611655,0.612939
fedprox_synthetic_0.5_0.5,155,0.589461,0.600877
fedprox_synthetic_0.5_0.5,156,0.52982,0.536184
fedprox_synthetic_0.5_0.5,157,0.525356,0.531798
fedprox_synthetic_0.5_0.5,158,0.502294,0.505482
fedprox_synthetic_0.5_0.5,159,0.589461,0.58114
fedprox_synthetic_0.5_0.5,160,0.568382,0.553728
fedprox_synthetic_0.5_0.5,161,0.540608,0.516447
fedprox_synthetic_0.5_0.5,162,0.494234,0.466009
fedprox_synthetic_0.5_0.5,163,0.454681,0.423246
fedprox_synthetic_0.5_0.5,164,0.454929,0.430921
fedprox_synthetic_0.5_0.5,165,0.454433,0.435307
fedprox_synthetic_0.5_0.5,166,0.462616,0.441886
fedprox_synthetic_0.5_0.5,167,0.471792,0.445175
fedprox_synthetic_0.5_0.5,168,0.480843,0.462719
fedprox_synthetic_0.5_0.5,169,0.484563,0.461623
fedprox_synthetic_0.5_0.5,170,0.487663,0.463816
fedprox_synthetic_0.5_0.5,171,0.49349,0.470395
fedprox_synthetic_0.5_0.5,172,0.498946,0.471491
fedprox_synthetic_0.5_0.5,173,0.56925,0.532895
fedprox_synthetic_0.5_0.5,174,0.619219,0.614035
fedprox_synthetic_0.5_0.5,175,0.595908,0.598684
fedprox_synthetic_0.5_0.5,176,0.581029,0.586623
fedprox_synthetic_0.5_0.5,177,0.598388,0.595395
fedprox_synthetic_0.5_0.5,178,0.63199,0.627193
fedprox_synthetic_0.5_0.5,179,0.67018,0.662281
fedprox_synthetic_0.5_0.5,180,0.676875,0.669956
fedprox_synthetic_0.5_0.5,181,0.683819,0.677632
fedprox_synthetic_0.5_0.5,182,0.707006,0.700658
fedprox_synthetic_0.5_0.5,183,0.70775,0.702851
fedprox_synthetic_0.5_0.5,184,0.707502,0.701754
fedprox_synthetic_0.5_0.5,185,0.712585,0.708333
fedprox_synthetic_0.5_0.5,186,0.702914,0.699561
fedprox_synthetic_0.5_0.5,187,0.688407,0.684211
fedprox_synthetic_0.5_0.5,188,0.667328,0.667763
fedprox_synthetic_0.5_0.5,189,0.651209,0.652412
fedprox_synthetic_0.5_0.5,190,0.607192,0.601974
fedprox_synthetic_0.5_0.5,191,0.581649,0.580044
fedprox_synthetic_0.5_0.5,192,0.553503,0.554825
fedprox_synthetic_0.5_0.5,193,0.684439,0.686404
fedprox_synthetic_0.5_0.5,194,0.696342,0.70614
fedprox_synthetic_0.5_0.5,195,0.713701,0.723684
fedprox_synthetic_0.5_0.5,196,0.724365,0.737939
fedprox_synthetic_0.5_0.5,197,0.731184,0.744518
fedprox_synthetic_0.5_0.5,198,0.732052,0.744518
fedprox_synthetic_0.5_0.5,199,0.73292,0.751096
