dataset,,,round,train_loss,train_accuracy,test_accuracy,test_loss
fedprox_synthetic_0_0,,,144,0.508225,0.803179,0.807135,0.49073
fedprox_synthetic_0_0,,,145,0.509148,0.802927,0.80825,0.492987
fedprox_synthetic_0_0,,,146,0.512773,0.803179,0.807135,0.499703
fedprox_synthetic_0_0,,,147,0.514757,0.803306,0.804905,0.503167
fedprox_synthetic_0_0,,,148,0.514653,0.803936,0.80379,0.503694
fedprox_synthetic_0_0,,,149,0.514365,0.803936,0.80379,0.503421
fedprox_synthetic_0_0,,,150,0.51383,0.803179,0.804905,0.503057
fedprox_synthetic_0_0,,,151,0.512338,0.803432,0.804905,0.500756
fedprox_synthetic_0_0,,,152,0.511045,0.803936,0.80602,0.498493
fedprox_synthetic_0_0,,,153,0.509028,0.805324,0.807135,0.49397
fedprox_synthetic_0_0,,,154,0.508597,0.80482,0.807135,0.492689
fedprox_synthetic_0_0,,,155,0.509354,0.805072,0.811594,0.490392
fedprox_synthetic_0_0,,,156,0.513359,0.80482,0.809365,0.490926
fedprox_synthetic_0_0,,,157,0.5181,0.804946,0.810479,0.492938
fedprox_synthetic_0_0,,,158,0.524598,0.804063,0.810479,0.496187
fedprox_synthetic_0_0,,,159,0.53135,0.804189,0.813824,0.499832
fedprox_synthetic_0_0,,,160,0.537865,0.804946,0.814939,0.503796
fedprox_synthetic_0_0,,,161,0.533133,0.804441,0.813824,0.500664
fedprox_synthetic_0_0,,,162,0.528194,0.803558,0.812709,0.497257
fedprox_synthetic_0_0,,,163,0.517886,0.803684,0.809365,0.490237
fedprox_synthetic_0_0,,,164,0.513739,0.802801,0.809365,0.48771
fedprox_synthetic_0_0,,,165,0.510994,0.803936,0.810479,0.486083
fedprox_synthetic_0_0,,,166,0.507646,0.805072,0.811594,0.484385
fedprox_synthetic_0_0,,,167,0.503428,0.80381,0.804905,0.484686
fedprox_synthetic_0_0,,,168,0.506492,0.805955,0.804905,0.492479
fedprox_synthetic_0_0,,,169,0.517773,0.806081,0.80602,0.50929
fedprox_synthetic_0_0,,,170,0.521922,0.805324,0.80602,0.515077
fedprox_synthetic_0_0,,,171,0.53418,0.803306,0.80602,0.530788
fedprox_synthetic_0_0,,,172,0.533654,0.803684,0.804905,0.52889
fedprox_synthetic_0_0,,,173,0.52776,0.80482,0.807135,0.521141
fedprox_synthetic_0_0,,,174,0.525427,0.804946,0.804905,0.518411
fedprox_synthetic_0_0,,,175,0.510109,0.805955,0.804905,0.497499
fedprox_synthetic_0_0,,,176,0.505486,0.806207,0.802676,0.486897
fedprox_synthetic_0_0,,,177,0.511768,0.799521,0.80825,0.488077
fedprox_synthetic_0_0,,,178,0.525856,0.7946,0.802676,0.497404
fedprox_synthetic_0_0,,,179,0.525482,0.796871,0.804905,0.496782
fedprox_synthetic_0_0,,,180,0.524056,0.797123,0.804905,0.495568
fedprox_synthetic_0_0,,,181,0.520513,0.796997,0.809365,0.492812
fedprox_synthetic_0_0,,,182,0.514939,0.799268,0.811594,0.488707
fedprox_synthetic_0_0,,,183,0.511553,0.801161,0.809365,0.486053
fedprox_synthetic_0_0,,,184,0.507725,0.803179,0.811594,0.483889
fedprox_synthetic_0_0,,,185,0.503674,0.80545,0.812709,0.483196
fedprox_synthetic_0_0,,,186,0.504742,0.8081,0.816054,0.487892
fedprox_synthetic_0_0,,,187,0.509356,0.810371,0.813824,0.495971
fedprox_synthetic_0_0,,,188,0.510608,0.807974,0.80602,0.498706
fedprox_synthetic_0_0,,,189,0.512684,0.806334,0.804905,0.502279
fedprox_synthetic_0_0,,,190,0.515718,0.805198,0.804905,0.506898
fedprox_synthetic_0_0,,,191,0.51751,0.803936,0.804905,0.509998
fedprox_synthetic_0_0,,,192,0.519175,0.805072,0.804905,0.512711
fedprox_synthetic_0_0,,,193,0.520346,0.805198,0.80379,0.514467
fedprox_synthetic_0_0,,,194,0.520036,0.80545,0.801561,0.514148
fedprox_synthetic_0_0,,,195,0.519818,0.805577,0.800446,0.514164
fedprox_synthetic_0_0,,,196,0.506344,0.805324,0.798216,0.496039
fedprox_synthetic_0_0,,,197,0.501496,0.804315,0.80379,0.484148
fedprox_synthetic_0_0,,,198,0.511204,0.799899,0.810479,0.488538
fedprox_synthetic_0_0,,,199,0.51461,0.800404,0.811594,0.490325
